Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Thu Dec  1 10:24:12 2022 ; 1773 ;; 87.54 ;;
Thu Dec  1 10:24:13 2022 ; 1774 ;; 87.49 ;;
Thu Dec  1 10:24:14 2022 ; 1775 ;; 87.44 ;;
Thu Dec  1 10:24:15 2022 ; 1776 ;; 87.39 ;;
Thu Dec  1 10:24:16 2022 ; 1777 ;; 87.34 ;;
Thu Dec  1 10:24:17 2022 ; 1778 ;; 87.29 ;;
Thu Dec  1 10:24:18 2022 ; 1779 ;; 87.24 ;;
Thu Dec  1 10:24:19 2022 ; 1780 ;; 87.19 ;;
Thu Dec  1 10:24:20 2022 ; 1781 ;; 87.14 ;;
Thu Dec  1 10:24:22 2022 ; 1782 ;; 87.09 ;;
Thu Dec  1 10:24:23 2022 ; 1783 ;; 87.04 ;;
Thu Dec  1 10:24:24 2022 ; 1784 ;; 87.0 ;;
Thu Dec  1 10:24:25 2022 ; 1785 ;; 86.95 ;;
Thu Dec  1 10:24:26 2022 ; 1786 ;; 86.9 ;;
Thu Dec  1 10:24:27 2022 ; 1787 ;; 86.85 ;;
Thu Dec  1 10:24:28 2022 ; 1788 ;; 86.8 ;;
Thu Dec  1 10:24:29 2022 ; 1789 ;; 86.75 ;;
Thu Dec  1 10:24:30 2022 ; 1790 ;; 86.7 ;;
Thu Dec  1 10:24:31 2022 ; 1791 ;; 86.66 ;;
Thu Dec  1 10:24:32 2022 ; 1792 ;; 86.61 ;;
Thu Dec  1 10:24:33 2022 ; 1793 ;; 86.56 ;;
Thu Dec  1 10:24:34 2022 ; 1794 ;; 86.51 ;;
Thu Dec  1 10:24:35 2022 ; 1795 ;; 86.46 ;;
Thu Dec  1 10:24:36 2022 ; 1796 ;; 86.41 ;;
Thu Dec  1 10:24:38 2022 ; 1797 ;; 86.37 ;;
Thu Dec  1 10:24:39 2022 ; 1798 ;; 86.32 ;;
Thu Dec  1 10:24:40 2022 ; 1799 ;; 86.27 ;;
Thu Dec  1 10:24:41 2022 ; 1800 ;; 86.22 ;;
Thu Dec  1 10:24:42 2022 ; 1801 ;; 86.17 ;;
Thu Dec  1 10:24:43 2022 ; 1802 ;; 86.13 ;;
